iso3, SENTIMENT
YEM, 0.79999999702
LSO, None
UGA, None
TKM, None
ALB, None
ITA, None
TTO, None
NLD, None
TCD, None
MNE, None
MNG, 1.10000000149
BFA, None
NGA, 0.728571431977
ZMB, None
GMB, None
HRV, None
GTM, None
LKA, None
AUS, 0.84285714158
JAM, None
AUT, None
DJI, None
VCT, None
MWI, None
FIN, None
MOZ, None
BIH, None
CPV, None
TJK, None
LCA, None
GEO, None
NOR, None
MHL, None
GUF, None
ZWE, 0.739999997616
GBR, 1.18260869675
GUY, None
CRI, None
CMR, 0.350000008941
MDA, None
MDG, None
HTI, None
DEU, 1.18750000559
LAO, None
ARE, None
CHN, 1.09361702299
ARG, 1.20000000298
SEN, None
BTN, None
MDV, None
ARM, 0.992857143815
GRD, None
EST, None
MUS, None
BLZ, None
LUX, None
IRQ, 1.0200000003
PHL, 0.54285714456
BDI, None
SMR, None
PER, 0.6666666617
BLR, None
IRL, None
SUR, None
IRN, 0.951724137212
KIR, None
LVA, None
NER, 0.880000001192
CIV, None
PLW, None
KEN, None
JOR, None
RUM, None
TUR, 0.571428567171
OMN, 1.02000000179
TUV, None
MMR, None
BWA, None
ECU, 0.89999999851
TUN, 1.05000000075
RUS, 0.857894731587
MEX, 1.33333333458
ASM, None
TLS, None
ATG, None
BGD, None
LTU, None
ISR, 0.473684208566
ERI, None
IDN, None
BGR, None
BOL, 1.05000000075
COD, None
ISL, None
ETH, 1.5
COM, None
COL, 1.06666666766
AGO, None
ZAF, 1.03333333383
SGP, None
SOM, None
UZB, None
BRN, None
POL, None
KWT, 0.15000000596
TGO, None
BRA, 1.20000000298
FRA, 1.13333333532
MKD, None
CHE, None
USA, 1.02266666671
JPN, 1.10400000244
SWE, None
UKR, None
DNK, None
SWZ, 0.933333329856
TON, None
KOR, 0.980000000199
VAT, None
CUB, 1.07142857489
MCO, None
DZA, None
CYP, None
HUN, 0.8
KGZ, None
FJI, None
VEN, 1.31250000745
SDN, 0.399999976158
GAB, None
PNG, None
HND, None
BEN, None
BEL, 0.700000006706
SLV, 1.35000000149
MLI, None
AZE, None
GNB, None
STP, None
CAN, 1.10000000149
MLT, None
SLE, None
CAF, None
SLB, None
NZL, None
AND, None
LBR, None
RWA, None
LBY, 1.01666666567
MYS, 0.954545452513
TZA, None
PRT, None
KHM, 0.89999999851
IND, 0.924999998882
BHS, None
BHR, None
PRY, 1.20000000298
SAU, 1.06944444796
CZE, None
QAT, 0.566666662693
AFG, 1.20000000298
VUT, None
NAM, None
XKX, None
NRU, None
GRC, 0.599999995902
TWN, 1.07500000298
PAK, 1.11666666965
SRB, None
PAN, 0.300000011921
SYC, None
NPL, None
MAR, 1.10000000149
LBN, None
LIE, None
NIC, 0.838888884832
VNM, 1.30000001192
SYR, 0.997222224043
KAZ, None
SVN, None
EGY, 1.22000000179
SVK, None
DOM, None
MRT, None
ESP, None
FSM, None
KNA, None
GHA, None
CHL, 1.20000000298
URY, None
THA, 1.2999999995
